surname,firstname,grade,game,date
Randolph,Darren,9,Wales-Ireland (0:1),11/10/17
Christie,Cyrus,7,Wales-Ireland (0:1),11/10/17
Duffy,Shane,9,Wales-Ireland (0:1),12/10/17
Clark,Ciaran,8,Wales-Ireland (0:1),12/10/17
Ward,Stephen,8,Wales-Ireland (0:1),13/10/17
Meyler,David,8,Wales-Ireland (0:1),13/10/17
Arter,Harry,8,Wales-Ireland (0:1),14/10/17
Hendrick,Jeff,7,Wales-Ireland (0:1),14/10/17
Brady,Robby,7,Wales-Ireland (0:1),15/10/17
McClean,James,9,Wales-Ireland (0:1),15/10/17
Murphy,Daryl,7,Wales-Ireland (0:1),16/10/17
Randolph,Darren,5,Georgia-Ireland (1:1),02/09/17
Christie,Cyrus,5,Georgia-Ireland (1:1),02/09/17
Duffy,Shane,6,Georgia-Ireland (1:1),03/09/17
Clark,Ciaran,5,Georgia-Ireland (1:1),03/09/17
Ward,Stephen,5,Georgia-Ireland (1:1),04/09/17
Whelan,Glenn,3,Georgia-Ireland (1:1),04/09/17
Arter,Harry,4,Georgia-Ireland (1:1),05/09/17
Brady,Robbie,4,Georgia-Ireland (1:1),05/09/17
McClean,James,4,Georgia-Ireland (1:1),06/09/17
Long,Shane,5,Georgia-Ireland (1:1),06/09/17
Walters,Jon,5,Georgia-Ireland (1:1),07/09/17
